,accuracy,k,n_classes_,n_features_,n_informative_,n_samples_,scale_,sim_id,strategy
0,0.8087,3,4,99,40,1143,0.5550407001999713,9.0,ds_knora_eliminate
0,0.887,5,4,99,40,1143,0.5550407001999713,9.0,ds_knora_eliminate
0,0.9478,10,4,99,40,1143,0.5550407001999713,9.0,ds_knora_eliminate
0,0.9478,15,4,99,40,1143,0.5550407001999713,9.0,ds_knora_eliminate
0,0.9478,20,4,99,40,1143,0.5550407001999713,9.0,ds_knora_eliminate
0,0.9478,25,4,99,40,1143,0.5550407001999713,9.0,ds_knora_eliminate
0,0.9478,30,4,99,40,1143,0.5550407001999713,9.0,ds_knora_eliminate
0,0.9478,35,4,99,40,1143,0.5550407001999713,9.0,ds_knora_eliminate
0,0.9478,40,4,99,40,1143,0.5550407001999713,9.0,ds_knora_eliminate
0,0.9478,45,4,99,40,1143,0.5550407001999713,9.0,ds_knora_eliminate
0,0.9478,50,4,99,40,1143,0.5550407001999713,9.0,ds_knora_eliminate
0,0.9478,60,4,99,40,1143,0.5550407001999713,9.0,ds_knora_eliminate
0,0.9478,70,4,99,40,1143,0.5550407001999713,9.0,ds_knora_eliminate
0,0.9478,80,4,99,40,1143,0.5550407001999713,9.0,ds_knora_eliminate
0,0.9478,90,4,99,40,1143,0.5550407001999713,9.0,ds_knora_eliminate
0,0.9478,100,4,99,40,1143,0.5550407001999713,9.0,ds_knora_eliminate
0,0.9478,200,4,99,40,1143,0.5550407001999713,9.0,ds_knora_eliminate
0,0.9478,300,4,99,40,1143,0.5550407001999713,9.0,ds_knora_eliminate
0,0.75,3,4,63,13,1672,0.6078154363551318,10.0,ds_knora_eliminate
0,0.8095,5,4,63,13,1672,0.6078154363551318,10.0,ds_knora_eliminate
0,0.8274,10,4,63,13,1672,0.6078154363551318,10.0,ds_knora_eliminate
0,0.8452,15,4,63,13,1672,0.6078154363551318,10.0,ds_knora_eliminate
0,0.8452,20,4,63,13,1672,0.6078154363551318,10.0,ds_knora_eliminate
0,0.8512,25,4,63,13,1672,0.6078154363551318,10.0,ds_knora_eliminate
0,0.8512,30,4,63,13,1672,0.6078154363551318,10.0,ds_knora_eliminate
0,0.8512,35,4,63,13,1672,0.6078154363551318,10.0,ds_knora_eliminate
0,0.8512,40,4,63,13,1672,0.6078154363551318,10.0,ds_knora_eliminate
0,0.8512,45,4,63,13,1672,0.6078154363551318,10.0,ds_knora_eliminate
0,0.8512,50,4,63,13,1672,0.6078154363551318,10.0,ds_knora_eliminate
0,0.8512,60,4,63,13,1672,0.6078154363551318,10.0,ds_knora_eliminate
0,0.8512,70,4,63,13,1672,0.6078154363551318,10.0,ds_knora_eliminate
0,0.8512,80,4,63,13,1672,0.6078154363551318,10.0,ds_knora_eliminate
0,0.8512,90,4,63,13,1672,0.6078154363551318,10.0,ds_knora_eliminate
0,0.8512,100,4,63,13,1672,0.6078154363551318,10.0,ds_knora_eliminate
0,0.8512,200,4,63,13,1672,0.6078154363551318,10.0,ds_knora_eliminate
0,0.8512,300,4,63,13,1672,0.6078154363551318,10.0,ds_knora_eliminate
0,0.92,3,2,63,5,994,1.6834095572764771,11.0,ds_knora_eliminate
0,0.94,5,2,63,5,994,1.6834095572764771,11.0,ds_knora_eliminate
0,0.96,10,2,63,5,994,1.6834095572764771,11.0,ds_knora_eliminate
0,0.95,15,2,63,5,994,1.6834095572764771,11.0,ds_knora_eliminate
0,0.95,20,2,63,5,994,1.6834095572764771,11.0,ds_knora_eliminate
0,0.96,25,2,63,5,994,1.6834095572764771,11.0,ds_knora_eliminate
0,0.96,30,2,63,5,994,1.6834095572764771,11.0,ds_knora_eliminate
0,0.96,35,2,63,5,994,1.6834095572764771,11.0,ds_knora_eliminate
0,0.96,40,2,63,5,994,1.6834095572764771,11.0,ds_knora_eliminate
