,accuracy,k,n_classes_,n_features_,n_informative_,n_samples_,scale_,sim_id,strategy
0,0.5467,100,7,9,8,745,1.9297633440175364,29.0,ds_la_ola
0,0.5467,200,7,9,8,745,1.9297633440175364,29.0,ds_la_ola
0,0.5467,300,7,9,8,745,1.9297633440175364,29.0,ds_la_ola
0,0.14,3,26,93,31,993,1.5249317047543183,30.0,ds_la_ola
0,0.19,5,26,93,31,993,1.5249317047543183,30.0,ds_la_ola
0,0.26,10,26,93,31,993,1.5249317047543183,30.0,ds_la_ola
0,0.28,15,26,93,31,993,1.5249317047543183,30.0,ds_la_ola
0,0.29,20,26,93,31,993,1.5249317047543183,30.0,ds_la_ola
0,0.3,25,26,93,31,993,1.5249317047543183,30.0,ds_la_ola
0,0.3,30,26,93,31,993,1.5249317047543183,30.0,ds_la_ola
0,0.3,35,26,93,31,993,1.5249317047543183,30.0,ds_la_ola
0,0.3,40,26,93,31,993,1.5249317047543183,30.0,ds_la_ola
0,0.3,45,26,93,31,993,1.5249317047543183,30.0,ds_la_ola
0,0.3,50,26,93,31,993,1.5249317047543183,30.0,ds_la_ola
0,0.31,60,26,93,31,993,1.5249317047543183,30.0,ds_la_ola
0,0.31,70,26,93,31,993,1.5249317047543183,30.0,ds_la_ola
0,0.31,80,26,93,31,993,1.5249317047543183,30.0,ds_la_ola
0,0.31,90,26,93,31,993,1.5249317047543183,30.0,ds_la_ola
0,0.31,100,26,93,31,993,1.5249317047543183,30.0,ds_la_ola
0,0.31,200,26,93,31,993,1.5249317047543183,30.0,ds_la_ola
0,0.31,300,26,93,31,993,1.5249317047543183,30.0,ds_la_ola
0,0.1478,3,26,98,62,1144,0.510126070303357,32.0,ds_la_ola
0,0.2174,5,26,98,62,1144,0.510126070303357,32.0,ds_la_ola
0,0.3217,10,26,98,62,1144,0.510126070303357,32.0,ds_la_ola
0,0.3391,15,26,98,62,1144,0.510126070303357,32.0,ds_la_ola
0,0.3565,20,26,98,62,1144,0.510126070303357,32.0,ds_la_ola
0,0.3565,25,26,98,62,1144,0.510126070303357,32.0,ds_la_ola
0,0.3565,30,26,98,62,1144,0.510126070303357,32.0,ds_la_ola
0,0.3565,35,26,98,62,1144,0.510126070303357,32.0,ds_la_ola
0,0.3565,40,26,98,62,1144,0.510126070303357,32.0,ds_la_ola
0,0.3565,45,26,98,62,1144,0.510126070303357,32.0,ds_la_ola
0,0.3565,50,26,98,62,1144,0.510126070303357,32.0,ds_la_ola
0,0.3565,60,26,98,62,1144,0.510126070303357,32.0,ds_la_ola
0,0.3565,70,26,98,62,1144,0.510126070303357,32.0,ds_la_ola
0,0.3565,80,26,98,62,1144,0.510126070303357,32.0,ds_la_ola
0,0.3565,90,26,98,62,1144,0.510126070303357,32.0,ds_la_ola
0,0.3565,100,26,98,62,1144,0.510126070303357,32.0,ds_la_ola
0,0.3565,200,26,98,62,1144,0.510126070303357,32.0,ds_la_ola
0,0.3565,300,26,98,62,1144,0.510126070303357,32.0,ds_la_ola
0,0.6207,3,5,22,10,869,2.4369860904533374,33.0,ds_la_ola
0,0.6552,5,5,22,10,869,2.4369860904533374,33.0,ds_la_ola
0,0.7126,10,5,22,10,869,2.4369860904533374,33.0,ds_la_ola
0,0.7586,15,5,22,10,869,2.4369860904533374,33.0,ds_la_ola
0,0.8161,20,5,22,10,869,2.4369860904533374,33.0,ds_la_ola
0,0.8736,25,5,22,10,869,2.4369860904533374,33.0,ds_la_ola
0,0.8851,30,5,22,10,869,2.4369860904533374,33.0,ds_la_ola
